,channel_name,author,comments
15,#TheRanveerShow,Pavbi,Thts y hampi is printed on our notes.birth place of bajrang in shivaite state karnataka where u will hardly find ram temples but bajrang temples are everywhere
16,#TheRanveerShow,NIRBHAY RANA,Do podcast with Archarya Prashant please
17,#TheRanveerShow,Kiran kumar Kumbar,That place in karnataka
18,#TheRanveerShow,AH2 SPARTA,Jai shree ram
19,#TheRanveerShow,Vaishnavi Dudhani,Hello please bring one podcast about liberal education!!
20,#TheRanveerShow,The funny women,"True, JAI SHREE RAM....."
21,#TheRanveerShow,Sriharsha TG,"The temple pic in the thumbnail is at hemakuta hill, not at Anjanadri hill. Hope you change it"
22,#TheRanveerShow,Suravi Das,"Please invite ""Jahnavi Harrison"""
23,#TheRanveerShow,AH2 SPARTA,Jai bajrang bali
24,#TheRanveerShow,anshu cruze,thats why i love dogs.
25,#TheRanveerShow,bharat,Bhai hindi me podcast kyu nahi karte
26,#TheRanveerShow,inuvik,imo ending music sahi nahi jamta in clips mein
27,#TheRanveerShow,ankit singh,Bhai hindi bhi to bol sakte ho
28,#TheRanveerShow,Mohammed Shahid,Bhai sandeep maheshwari ke channel pe kab ja rahe ??
29,#TheRanveerShow,Om Bhardwaj,
30,#TheRanveerShow,kedar chapte,JSR
31,#TheRanveerShow,Anuj Jain,There is nothing miraculous in this. Dogs can remember path and learn to guide path.
32,#TheRanveerShow,Workout Tube,Bro you are trying to be a good Hindu. I invite you as a Muslim to read the Qur'an
0,#TheRanveerShow,Aditi Gupta,"In my case i started worshipping Shiva at very young age, then in my 20's out of nowhere i felt an great attraction towards Krishna n everytime i found myself listening to krishna bhajan. Now after reading Srimad Bhagvad Geeta i got all answers and i feel less attachment with material things and i feel free within my self!!!"
1,#TheRanveerShow,A S,I must congratulate Ranveer for creating such lovely podcast contents with experts in their fields.
2,#TheRanveerShow,Sanjeevani Walimbe,Your clips are good. The questions you ask are always something that I usually  have on my mind. Thanks for doing what you are doing.
3,#TheRanveerShow,nihar show,"Shiva is the representation of all skills,he is the Mr. Dependable of Lord Krishna.Shiva did all the toughest tasks"
4,#TheRanveerShow,Niel,"Ranveer you should search about Baba Neem Karori the way he lived his life will answer all your questions, people worship him as Lord Hanuman himself"
5,#TheRanveerShow,Arjun Khadke,"No disrespect and No hate but Ranveer thinks he has gone deep in a conversation in the podcasts but never does. 
I have always noticed that the questions he asks are mostly for his own curiosity and more self sided.
 I think when you have such ""Experts"" on the show you should ask questions that make them scratch their own head and bring answer through the deepest of their minds using all of their knowledge or intellect. 
That would be a deep conversation.
Ranveer always keeps asking about what Kaala Jaadu, Are there ghosts,etc.
I sense these questions come from his own experiences in his life and he gets answer to them, too. But then he doesn't pull out the other persons experiences and knowledge.
And who the hell is this guy????
Those intros and outrows just feel to cringe and end the vibe of the ""deep"" podcast."
6,#TheRanveerShow,Mukul Mudgal,"Which ever path you take they all will lead you to the supreme God, Krishna. He has himself said it in Gita."
7,#TheRanveerShow,Niel,"Why this stupid question everywhere if Shiva is an alien? an alien is someone who ia not from earth, ofcourse by this logic you can call him alien because he does not belong to earth, whole universe including earth belongs to him"
8,#TheRanveerShow,Dhruv Sangtani,Ask such baseless question to someone like Sadhguru and see him laughing at you for at least 2 minutes.
9,#TheRanveerShow,Nandan Singh,"ab bhagwan ko v apne existence Ka prove dena padega ki wo alien h ya nhi.
such a baseless question"
10,#TheRanveerShow,Shailesh Dwivedi,SHIVA-->INFINITY ️
11,#TheRanveerShow,CptAem,"Where  there is a question on Lord Shiva the supreme God , not a valid question"
12,#TheRanveerShow,prashik vaidya,"Yeah he might be an alien,
Went to picnic near any black hole and centuaries would paas when he arrives back."
13,#TheRanveerShow,Tuhin Roy,"Om Hreem Shree Gurubheyo Namaha,
A Yogi is more fit to satisfy our thirst for Shiva,like Sri M"
14,#TheRanveerShow,Trideep Bor Saikia,Har Har Mahadev..
15,#TheRanveerShow,Ujjal das,"This is called the hypocrisy of iskcon.... shree krishna was the devotee of Lord Shiva...lord Rama was the devotee of shiva also ..in iswar Geeta Lord Rama was the student of lord shiva...he is the dev of dev....shiva never born, and never destroyed..  pagalpanthi band karo...the maturity is 
shiva= krishna= Rama...they all are the manifestations of Nirgun Nirankar Parambrahm ( the absolute truth)...they all are same in different names and forms"
16,#TheRanveerShow,Vishal Joshi,"Arey kyun faltu ki confusion laga rakhi hai,  Krishna shiva shakti Ganesha all are one god but different names."
17,#TheRanveerShow,MANOZ,Om namah shivya jay samboo
18,#TheRanveerShow,Komatineni Madhubabu,Watch gudimallam temple by praveenmohan
19,#TheRanveerShow,Vaishnavi Dudhani,Hello please make a podcast on liberal education!
0,#TheRanveerShow,Manoj Musical Wave,"These are the only channel I can watch without skipping single second .. trs clips , beer biceps and ranveer allahbadia."
1,#TheRanveerShow,Ghezero Fika,"Ganesh is not only the son of Shiv, he's also parabramh people underestimate Ganesh a lot of times."
2,#TheRanveerShow,Aashay Nevatia,I've heard this story from my mother and grandmother.
3,#TheRanveerShow,Chandhini Revathi,Ganeshaaaaaaaa.. The Cutest ️
4,#TheRanveerShow,IE LOKI SUS,Sir then what about the teeth parshuram broke ? If both teeths of ganesh bhagvan are lost then why are the photos depicted with only one teeth broken??
5,#TheRanveerShow,Anshuman Sohal,"Very great work
Love you work ranveer bhai"
6,#TheRanveerShow,Somdutta Nath,I ️ganeshaaaaa
7,#TheRanveerShow,Sameer Potnis,Deva Shree Ganesha
8,#TheRanveerShow,चंद्रभान सिंह,श्री गणेशाय नमः
9,#TheRanveerShow,Anurag Vishwakarma,I want to see the lord Ganesha handwriting
10,#TheRanveerShow,Vishnuvardhan sir ಸೇನೆ,ganesha
11,#TheRanveerShow,Parth Shete,Ganpati's one tusk was broken in fight with some demon right?
12,#TheRanveerShow,Mayank Nakul,
13,#TheRanveerShow,Tech Tel,But why would Ganesha put such a condition ?????
14,#TheRanveerShow,Atul amale,If the people get minus from rnveer show that day it is zero
15,#TheRanveerShow,Kirti Singh,add subtitles
16,#TheRanveerShow,Kunal Singh,Best..
17,#TheRanveerShow,Sameer Potnis,True
0,#TheRanveerShow,Click It Pictures,Sanatan lifestyle is taking over our youth generation! Extremely good work you are doing Ranveer! Being a healed person makes me understand the power of podcasts. You’ve got some special place in my heart bro Mahadev Har
1,#TheRanveerShow,Jayan Mathur,"Thank you ranveer bhaiya!! Your my idol (i love the exact things u make videos on- spirituality,fitness,most interesting topics based podcasts)
CONTINUE TO ASPIRE US!!"
2,#TheRanveerShow,Daydreamer World,"Unfortunately most of the ""Gurus"" try to detach OM from Hinduism. Most of the meditation yoga classes I attend they make sure to say this loud and clear so as to accommodate every other religion. Sucks!"
3,#TheRanveerShow,Surya s,"More podcasts like these please, thank you very much."
4,#TheRanveerShow,MsShristi Dubey,Ohh goddd this was mindblowing. And we as sanatan dharmees should be proud. Well said
5,#TheRanveerShow,tyler isangry,"The story of ""raja janak and his dream"" told by swami sarvapriyanada before getting into  ""madukya upanishad"" gives you a glimpse."
6,#TheRanveerShow,Anchal Trivedi,We need Swami Sarvapriyananda on the show! ASAP!!
7,#TheRanveerShow,Prashant Dubey,Y don't u bring a psychic on your show it will b an  really grt video to watch bcoz very few people know abt wat the are how they feel things and vibes how do they live there nrml life being an psychic
8,#TheRanveerShow,Charan,"Bruh he is saying thuriya is a constant like zero, Bina zero ka 1 kaise start hotha ya negative 1 kaise start hotha whohi constant he....tho....transcend hone me bhi ek jaga se dusre jaga jaara tho situation beech me ek constant tho rahega na...."
9,#TheRanveerShow,abhisek bisoy,First of all its not OM. It's AUM.
10,#TheRanveerShow,Anshuman Sohal,Amazing work of you ranveer bhai
11,#TheRanveerShow,S R,"He cld hv given his explanation in a more simpler way

He spoke for so long and many wldnt hv understood it

There is a saying if u cant explain it simpler terms. U dont understand it well enough yourself"
12,#TheRanveerShow,The funny women,One of the best shows..
13,#TheRanveerShow,Soham Naiknaware,"Now I know it
..... Thanks"
14,#TheRanveerShow,Shivam,ITS AUM NOT OM
15,#TheRanveerShow,Baljinder Singh Sidhu,"Also make one video on Ik onkar ੴ..
Thank you."
16,#TheRanveerShow,Sachin Potdar,It means infinity
17,#TheRanveerShow,Itachi Uchiha,Suyash talked about turya state.
18,#TheRanveerShow,Krishna Priya,
